Station Name,Latitude (deg),Longitude (deg),Elevation (ft),Year,Month,Day,Max Temp (F),Min Temp (F),Rainfall (in),Corn GDD (F),Corn AGDD (F),Delta GDD (5yr)
Eldred,47.688,-96.822,861,2017,7,14,80.258,47.246,0.0,15.0,814.0,-139.0
Eldred,47.688,-96.822,861,2017,7,15,78.62,51.763999999999996,0.0,15.0,829.0,-143.0
Eldred,47.688,-96.822,861,2017,7,16,81.068,47.948,0.0,16.0,845.0,-148.0
Eldred,47.688,-96.822,861,2017,7,17,86.288,60.206,0.4,23.0,868.0,-146.0
Eldred,47.688,-96.822,861,2017,7,18,79.44800000000001,55.976000000000006,0.0,18.0,886.0,-150.0
Eldred,47.688,-96.822,861,2017,7,19,81.68,52.718,0.0,17.0,903.0,-155.0
Eldred,47.688,-96.822,861,2017,7,20,83.714,56.498000000000005,0.0,20.0,923.0,-155.0
Eldred,47.688,-96.822,861,2017,7,21,87.314,64.832,0.3,25.0,948.0,-150.0
Eldred,47.688,-96.822,861,2017,7,22,79.988,60.746,0.02,20.0,968.0,-151.0
Eldred,47.688,-96.822,861,2017,7,23,77.14399999999999,58.693999999999996,0.0,18.0,986.0,-152.0
Eldred,47.688,-96.822,861,2017,7,24,79.322,56.84,0.0,18.0,1004.0,-153.0
Eldred,47.688,-96.822,861,2017,7,25,84.92,61.843999999999994,0.0,23.0,1027.0,-151.0
Eldred,47.688,-96.822,861,2017,7,26,79.88,57.68600000000001,0.0,19.0,1046.0,-150.0
Eldred,47.688,-96.822,861,2017,7,27,83.37200000000001,52.88,0.0,18.0,1064.0,-149.0
Eldred,47.688,-96.822,861,2017,7,28,85.766,54.788000000000004,0.0,20.0,1084.0,-146.0
Eldred,47.688,-96.822,861,2017,7,29,87.33200000000001,57.848,0.0,22.0,1106.0,-142.0
Eldred,47.688,-96.822,861,2017,7,30,87.67399999999999,58.856,0.0,22.0,1128.0,-140.0
Eldred,47.688,-96.822,861,2017,7,31,88.35799999999999,61.07,0.0,24.0,1152.0,-135.0
Eldred,47.688,-96.822,861,2017,8,1,80.654,56.12,0.0,18.0,1170.0,-137.0
Eldred,47.688,-96.822,861,2017,8,2,74.354,50.684,0.17,13.0,1183.0,-142.0
Eldred,47.688,-96.822,861,2017,8,3,72.14,53.492,0.12,13.0,1196.0,-147.0
Eldred,47.688,-96.822,861,2017,8,4,79.664,47.083999999999996,0.0,15.0,1211.0,-146.0
Eldred,47.688,-96.822,861,2017,8,5,77.072,48.452,0.0,14.0,1225.0,-148.0
Eldred,47.688,-96.822,861,2017,8,6,78.584,46.15,0.0,14.0,1239.0,-152.0
Eldred,47.688,-96.822,861,2017,8,7,81.158,47.948,0.0,16.0,1255.0,-153.0
Eldred,47.688,-96.822,861,2017,8,8,84.524,47.768,0.0,17.0,1272.0,-154.0
Eldred,47.688,-96.822,861,2017,8,9,77.612,58.172,0.02,18.0,1290.0,-152.0
Eldred,47.688,-96.822,861,2017,8,10,79.124,52.358000000000004,0.0,16.0,1306.0,-153.0
Eldred,47.688,-96.822,861,2017,8,11,79.10600000000001,46.562,0.0,15.0,1321.0,-154.0
Eldred,47.688,-96.822,861,2017,8,12,79.556,45.383,0.0,15.0,1336.0,-156.0
Eldred,47.688,-96.822,861,2017,8,13,75.056,55.273999999999994,0.04,15.0,1351.0,-159.0
Eldred,47.688,-96.822,861,2017,8,14,82.022,47.246,0.0,16.0,1367.0,-161.0
Eldred,47.688,-96.822,861,2017,8,15,79.34,50.504,0.0,15.0,1382.0,-167.0
Eldred,47.688,-96.822,861,2017,8,16,67.064,61.25,0.06,14.0,1396.0,-171.0
Eldred,47.688,-96.822,861,2017,8,17,78.278,57.308,0.0,18.0,1414.0,-170.0
Eldred,47.688,-96.822,861,2017,8,18,82.20200000000001,50.81,0.0,17.0,1431.0,-170.0
Eldred,47.688,-96.822,861,2017,8,19,86.126,49.153999999999996,0.0,18.0,1449.0,-169.0
Eldred,47.688,-96.822,861,2017,8,20,79.142,50.306000000000004,0.0,15.0,1464.0,-171.0
Eldred,47.688,-96.822,861,2017,8,21,74.57,47.588,0.0,12.0,1476.0,-177.0
Eldred,47.688,-96.822,861,2017,8,22,77.09,45.144,0.0,14.0,1490.0,-180.0
Eldred,47.688,-96.822,861,2017,8,23,78.692,39.717,0.12,14.0,1504.0,-184.0
Eldred,47.688,-96.822,861,2017,8,24,76.748,49.838,0.01,13.0,1517.0,-190.0
Eldred,47.688,-96.822,861,2017,8,25,76.442,52.718,0.0,15.0,1532.0,-189.0
Eldred,47.688,-96.822,861,2017,8,26,69.422,53.744,0.0,12.0,1544.0,-193.0
Eldred,47.688,-96.822,861,2017,8,27,76.586,50.126000000000005,0.0,13.0,1557.0,-195.0
Eldred,47.688,-96.822,861,2017,8,28,87.656,45.79,0.0,18.0,1575.0,-198.0
Eldred,47.688,-96.822,861,2017,8,29,89.384,53.56399999999999,0.0,20.0,1595.0,-198.0
Eldred,47.688,-96.822,861,2017,8,30,81.176,49.964,0.0,16.0,1611.0,-201.0
Eldred,47.688,-96.822,861,2017,8,31,76.42399999999999,45.57,0.0,13.0,1624.0,-206.0
Eldred,47.688,-96.822,861,2017,9,1,68.018,55.04,0.17,12.0,1636.0,-210.0
Eldred,47.688,-96.822,861,2017,9,2,81.86,49.226000000000006,0.0,16.0,1652.0,-212.0
Eldred,47.688,-96.822,861,2017,9,3,91.184,47.678000000000004,0.0,18.0,1670.0,-213.0
Eldred,47.688,-96.822,861,2017,9,4,72.69800000000001,48.29,0.02,11.0,1681.0,-220.0
Eldred,47.688,-96.822,861,2017,9,5,67.712,39.033,0.0,9.0,1690.0,-226.0
Eldred,47.688,-96.822,861,2017,9,6,70.08800000000001,35.062,0.0,10.0,1700.0,-230.0
Eldred,47.688,-96.822,861,2017,9,7,82.07600000000001,41.614,0.0,16.0,1716.0,-228.0
Eldred,47.688,-96.822,861,2017,9,8,73.598,39.247,0.0,12.0,1728.0,-229.0
Eldred,47.688,-96.822,861,2017,9,9,81.374,42.476000000000006,0.0,16.0,1744.0,-222.0
Eldred,47.688,-96.822,861,2017,9,10,85.62200000000001,58.028,0.0,22.0,1766.0,-212.0
Eldred,47.688,-96.822,861,2017,9,11,81.068,52.358000000000004,0.0,17.0,1783.0,-206.0
Eldred,47.688,-96.822,861,2017,9,12,92.3,48.974,0.0,18.0,1801.0,-197.0
Eldred,47.688,-96.822,861,2017,9,13,82.20200000000001,57.128,0.0,20.0,1821.0,-188.0
Eldred,47.688,-96.822,861,2017,9,14,65.426,54.428000000000004,0.06,10.0,1831.0,-187.0
Eldred,47.688,-96.822,861,2017,9,15,58.46,49.658,0.9109999999999999,4.0,1835.0,-196.0
Eldred,47.688,-96.822,861,2017,9,16,53.06,44.881,0.02,2.0,1837.0,-205.0
Eldred,47.688,-96.822,861,2017,9,17,61.376000000000005,39.744,0.0,6.0,1843.0,-207.0
Eldred,47.688,-96.822,861,2017,9,18,69.98,39.918,0.0,10.0,1853.0,-208.0
Eldred,47.688,-96.822,861,2017,9,19,76.262,57.343999999999994,0.9009999999999999,17.0,1870.0,-204.0
Eldred,47.688,-96.822,861,2017,9,20,71.132,48.794,0.0,11.0,1881.0,-203.0
Eldred,47.688,-96.822,861,2017,9,21,80.888,47.174,0.0,15.0,1896.0,-198.0
Eldred,47.688,-96.822,861,2017,9,22,78.67399999999999,54.428000000000004,0.0,17.0,1913.0,-190.0
Eldred,47.688,-96.822,861,2017,9,23,61.952,49.82,0.07,6.0,1919.0,-195.0
Eldred,47.688,-96.822,861,2017,9,24,54.95,49.496,0.81,2.0,1921.0,-207.0
Eldred,47.688,-96.822,861,2017,9,25,52.718,47.426,0.0,1.0,1922.0,-218.0
Eldred,47.688,-96.822,861,2017,9,26,52.736000000000004,38.818000000000005,0.7909999999999999,1.0,1923.0,-232.0
Eldred,47.688,-96.822,861,2017,9,27,71.096,41.063,0.0,11.0,1934.0,-233.0
Eldred,47.688,-96.822,861,2017,9,28,68.396,39.373000000000005,0.0,9.0,1943.0,-232.0
Eldred,47.688,-96.822,861,2017,9,29,62.56399999999999,33.004,0.0,6.0,1949.0,-237.0
Eldred,47.688,-96.822,861,2017,9,30,70.79,40.78,0.0,10.0,1959.0,-239.0
Perley,47.178999999999995,-96.68,895,2017,5,15,80.546,53.24,0.0,,,
Perley,47.178999999999995,-96.68,895,2017,5,16,64.88600000000001,51.926,0.11,8.0,8.0,-2.0
Perley,47.178999999999995,-96.68,895,2017,5,17,58.496,46.742,0.0,4.0,12.0,-11.0
Perley,47.178999999999995,-96.68,895,2017,5,18,64.976,41.698,0.0,7.0,19.0,-18.0
Perley,47.178999999999995,-96.68,895,2017,5,19,64.382,37.195,0.0,7.0,26.0,-21.0
Perley,47.178999999999995,-96.68,895,2017,5,20,52.663999999999994,40.359,0.47,1.0,27.0,-31.0
Perley,47.178999999999995,-96.68,895,2017,5,21,53.096000000000004,37.44,0.13,2.0,29.0,-39.0
Perley,47.178999999999995,-96.68,895,2017,5,22,57.398,40.975,0.0,4.0,33.0,-50.0
Perley,47.178999999999995,-96.68,895,2017,5,23,59.342,41.706,0.03,5.0,38.0,-59.0
Perley,47.178999999999995,-96.68,895,2017,5,24,68.324,36.093,0.0,9.0,47.0,-65.0
Perley,47.178999999999995,-96.68,895,2017,5,25,71.384,46.868,0.0,11.0,58.0,-66.0
Perley,47.178999999999995,-96.68,895,2017,5,26,73.544,46.071000000000005,0.0,12.0,70.0,-67.0
Perley,47.178999999999995,-96.68,895,2017,5,27,81.068,44.863,0.0,16.0,86.0,-66.0
Perley,47.178999999999995,-96.68,895,2017,5,28,70.178,46.0,0.03,10.0,96.0,-72.0
Perley,47.178999999999995,-96.68,895,2017,5,29,60.08,48.092,0.04,5.0,101.0,-79.0
Perley,47.178999999999995,-96.68,895,2017,5,30,64.07600000000001,42.978,0.0,7.0,108.0,-87.0
Perley,47.178999999999995,-96.68,895,2017,5,31,75.758,42.98,0.0,13.0,121.0,-85.0
Perley,47.178999999999995,-96.68,895,2017,6,1,84.32600000000001,44.678999999999995,0.0,17.0,138.0,-78.0
Perley,47.178999999999995,-96.68,895,2017,6,2,95.70200000000001,57.632,0.0,22.0,160.0,-69.0
Perley,47.178999999999995,-96.68,895,2017,6,3,87.89,55.526,0.0,21.0,181.0,-60.0
Perley,47.178999999999995,-96.68,895,2017,6,4,82.49,50.45,0.0,16.0,197.0,-58.0
Perley,47.178999999999995,-96.68,895,2017,6,5,86.432,52.321999999999996,0.0,19.0,216.0,-55.0
Perley,47.178999999999995,-96.68,895,2017,6,6,91.148,58.226000000000006,0.0,22.0,238.0,-46.0
Perley,47.178999999999995,-96.68,895,2017,6,7,85.244,57.596000000000004,0.09,21.0,259.0,-41.0
Perley,47.178999999999995,-96.68,895,2017,6,8,82.94,52.79,0.0,18.0,277.0,-40.0
Perley,47.178999999999995,-96.68,895,2017,6,9,90.14,53.78,0.24,20.0,297.0,-38.0
Perley,47.178999999999995,-96.68,895,2017,6,10,81.392,61.25,0.0,21.0,318.0,-33.0
Perley,47.178999999999995,-96.68,895,2017,6,11,84.038,56.443999999999996,0.22,20.0,338.0,-28.0
Perley,47.178999999999995,-96.68,895,2017,6,12,78.944,50.684,0.0,15.0,353.0,-28.0
Perley,47.178999999999995,-96.68,895,2017,6,13,76.316,58.333999999999996,1.4909999999999999,17.0,370.0,-28.0
Perley,47.178999999999995,-96.68,895,2017,6,14,79.08800000000001,59.918,0.01,20.0,390.0,-25.0
Perley,47.178999999999995,-96.68,895,2017,6,15,76.80199999999999,57.434,0.0,17.0,407.0,-23.0
Perley,47.178999999999995,-96.68,895,2017,6,16,81.392,54.698,0.01,18.0,425.0,-20.0
Perley,47.178999999999995,-96.68,895,2017,6,17,72.66199999999999,53.653999999999996,0.36,13.0,438.0,-24.0
Perley,47.178999999999995,-96.68,895,2017,6,18,71.564,54.5,0.02,13.0,451.0,-29.0
Perley,47.178999999999995,-96.68,895,2017,6,19,73.02199999999999,49.91,0.03,12.0,463.0,-35.0
Perley,47.178999999999995,-96.68,895,2017,6,20,72.95,48.506,0.01,11.0,474.0,-41.0
Perley,47.178999999999995,-96.68,895,2017,6,21,85.17200000000001,52.196000000000005,0.0,19.0,493.0,-40.0
Perley,47.178999999999995,-96.68,895,2017,6,22,79.97,49.352,0.0,15.0,508.0,-43.0
Perley,47.178999999999995,-96.68,895,2017,6,23,66.866,47.192,0.0,8.0,516.0,-53.0
Perley,47.178999999999995,-96.68,895,2017,6,24,60.692,43.808,0.07,5.0,521.0,-67.0
Perley,47.178999999999995,-96.68,895,2017,6,25,67.874,42.648999999999994,0.0,9.0,530.0,-77.0
Perley,47.178999999999995,-96.68,895,2017,6,26,74.102,39.259,0.0,12.0,542.0,-86.0
Perley,47.178999999999995,-96.68,895,2017,6,27,79.232,45.523,0.0,15.0,557.0,-92.0
Perley,47.178999999999995,-96.68,895,2017,6,28,69.782,61.034,0.86,15.0,572.0,-96.0
Perley,47.178999999999995,-96.68,895,2017,6,29,75.938,59.431999999999995,0.0,18.0,590.0,-98.0
Perley,47.178999999999995,-96.68,895,2017,6,30,71.762,52.754,0.05,12.0,602.0,-101.0
Perley,47.178999999999995,-96.68,895,2017,7,1,75.47,50.45,0.0,13.0,615.0,-105.0
Perley,47.178999999999995,-96.68,895,2017,7,2,74.318,46.79600000000001,0.0,12.0,627.0,-112.0
Perley,47.178999999999995,-96.68,895,2017,7,3,82.31,52.574,0.0,17.0,644.0,-116.0
Perley,47.178999999999995,-96.68,895,2017,7,4,93.38,60.17,0.03,23.0,667.0,-117.0
Perley,47.178999999999995,-96.68,895,2017,7,5,91.904,62.096000000000004,0.0,24.0,691.0,-115.0
Perley,47.178999999999995,-96.68,895,2017,7,6,82.706,62.24,0.17,22.0,713.0,-112.0
Perley,47.178999999999995,-96.68,895,2017,7,7,77.972,54.571999999999996,0.0,16.0,729.0,-114.0
Perley,47.178999999999995,-96.68,895,2017,7,8,86.414,52.628,0.0,19.0,748.0,-113.0
Perley,47.178999999999995,-96.68,895,2017,7,9,84.056,63.608000000000004,0.05,24.0,772.0,-106.0
Perley,47.178999999999995,-96.68,895,2017,7,10,84.38,57.794,0.0,21.0,793.0,-106.0
Perley,47.178999999999995,-96.68,895,2017,7,11,87.63799999999999,62.096000000000004,1.421,24.0,817.0,-104.0
Perley,47.178999999999995,-96.68,895,2017,7,12,69.062,57.361999999999995,0.0,13.0,830.0,-114.0
Perley,47.178999999999995,-96.68,895,2017,7,13,70.61,54.14,0.0,12.0,842.0,-122.0
Perley,47.178999999999995,-96.68,895,2017,7,14,80.24,49.04600000000001,0.0,15.0,857.0,-126.0
Perley,47.178999999999995,-96.68,895,2017,7,15,78.404,56.75,0.0,18.0,875.0,-127.0
Perley,47.178999999999995,-96.68,895,2017,7,16,84.056,51.422,0.0,18.0,893.0,-130.0
Perley,47.178999999999995,-96.68,895,2017,7,17,92.66,66.452,0.0,26.0,919.0,-126.0
Perley,47.178999999999995,-96.68,895,2017,7,18,81.96799999999999,59.126000000000005,0.12,21.0,940.0,-128.0
Perley,47.178999999999995,-96.68,895,2017,7,19,81.64399999999999,53.24,0.0,17.0,957.0,-133.0
Perley,47.178999999999995,-96.68,895,2017,7,20,86.936,58.153999999999996,0.0,22.0,979.0,-132.0
Perley,47.178999999999995,-96.68,895,2017,7,21,90.28399999999999,66.77600000000001,0.0,26.0,1005.0,-128.0
Perley,47.178999999999995,-96.68,895,2017,7,22,81.212,59.126000000000005,0.2,20.0,1025.0,-128.0
Perley,47.178999999999995,-96.68,895,2017,7,23,78.458,57.974,0.0,18.0,1043.0,-130.0
Perley,47.178999999999995,-96.68,895,2017,7,24,79.358,60.17,0.0,20.0,1063.0,-130.0
Perley,47.178999999999995,-96.68,895,2017,7,25,80.546,61.178000000000004,0.0,21.0,1084.0,-130.0
Perley,47.178999999999995,-96.68,895,2017,7,26,81.392,55.49,0.0,18.0,1102.0,-130.0
Perley,47.178999999999995,-96.68,895,2017,7,27,85.17200000000001,52.988,0.0,19.0,1121.0,-128.0
Perley,47.178999999999995,-96.68,895,2017,7,28,86.954,56.39,0.0,21.0,1142.0,-124.0
Perley,47.178999999999995,-96.68,895,2017,7,29,87.08,61.394,0.0,24.0,1166.0,-118.0
Perley,47.178999999999995,-96.68,895,2017,7,30,88.62799999999999,61.7,0.0,24.0,1190.0,-114.0
Perley,47.178999999999995,-96.68,895,2017,7,31,88.79,62.54600000000001,0.0,24.0,1214.0,-108.0
Perley,47.178999999999995,-96.68,895,2017,8,1,82.742,58.586000000000006,0.0,21.0,1235.0,-108.0
Perley,47.178999999999995,-96.68,895,2017,8,2,77.486,53.54600000000001,0.21,16.0,1251.0,-110.0
Perley,47.178999999999995,-96.68,895,2017,8,3,72.752,52.394,0.16,13.0,1264.0,-116.0
Perley,47.178999999999995,-96.68,895,2017,8,4,79.196,45.032,0.0,15.0,1279.0,-116.0
Perley,47.178999999999995,-96.68,895,2017,8,5,79.25,50.93600000000001,0.0,15.0,1294.0,-116.0
Perley,47.178999999999995,-96.68,895,2017,8,6,78.836,49.226000000000006,0.0,14.0,1308.0,-120.0
Perley,47.178999999999995,-96.68,895,2017,8,7,81.824,48.128,0.0,16.0,1324.0,-122.0
Perley,47.178999999999995,-96.68,895,2017,8,8,85.1,51.602,0.0,18.0,1342.0,-123.0
Perley,47.178999999999995,-96.68,895,2017,8,9,79.556,59.864,0.02,20.0,1362.0,-120.0
Perley,47.178999999999995,-96.68,895,2017,8,10,81.212,55.79600000000001,0.0,19.0,1381.0,-117.0
Perley,47.178999999999995,-96.68,895,2017,8,11,81.086,46.79600000000001,0.0,16.0,1397.0,-118.0
Perley,47.178999999999995,-96.68,895,2017,8,12,80.47399999999999,46.364,0.0,15.0,1412.0,-121.0
Perley,47.178999999999995,-96.68,895,2017,8,13,70.142,58.333999999999996,0.13,14.0,1426.0,-125.0
Perley,47.178999999999995,-96.68,895,2017,8,14,79.44800000000001,52.808,0.0,16.0,1442.0,-128.0
Perley,47.178999999999995,-96.68,895,2017,8,15,75.704,51.763999999999996,0.0,14.0,1456.0,-135.0
Perley,47.178999999999995,-96.68,895,2017,8,16,67.964,63.104,0.07,16.0,1472.0,-137.0
Perley,47.178999999999995,-96.68,895,2017,8,17,80.042,57.974,0.0,19.0,1491.0,-136.0
Perley,47.178999999999995,-96.68,895,2017,8,18,80.654,55.31,0.0,18.0,1509.0,-135.0
Perley,47.178999999999995,-96.68,895,2017,8,19,83.53399999999999,53.78,0.0,19.0,1528.0,-132.0
Perley,47.178999999999995,-96.68,895,2017,8,20,78.836,54.86,0.0,17.0,1545.0,-132.0
Perley,47.178999999999995,-96.68,895,2017,8,21,77.0,53.653999999999996,0.0,15.0,1560.0,-136.0
Perley,47.178999999999995,-96.68,895,2017,8,22,79.10600000000001,45.873000000000005,0.0,15.0,1575.0,-139.0
Perley,47.178999999999995,-96.68,895,2017,8,23,78.35,42.233000000000004,0.14,14.0,1589.0,-144.0
Perley,47.178999999999995,-96.68,895,2017,8,24,76.49600000000001,52.214,0.0,14.0,1603.0,-148.0
Perley,47.178999999999995,-96.68,895,2017,8,25,69.998,55.202,0.0,13.0,1616.0,-150.0
Perley,47.178999999999995,-96.68,895,2017,8,26,71.096,54.986000000000004,0.0,13.0,1629.0,-153.0
Perley,47.178999999999995,-96.68,895,2017,8,27,76.766,51.836000000000006,0.0,14.0,1643.0,-155.0
Perley,47.178999999999995,-96.68,895,2017,8,28,86.234,47.948,0.0,18.0,1661.0,-160.0
Perley,47.178999999999995,-96.68,895,2017,8,29,87.38600000000001,56.461999999999996,0.0,21.0,1682.0,-160.0
Perley,47.178999999999995,-96.68,895,2017,8,30,83.156,53.51,0.0,18.0,1700.0,-160.0
Perley,47.178999999999995,-96.68,895,2017,8,31,75.218,50.702,0.0,13.0,1713.0,-165.0
Perley,47.178999999999995,-96.68,895,2017,9,1,67.964,59.198,0.08,14.0,1727.0,-168.0
Perley,47.178999999999995,-96.68,895,2017,9,2,82.976,53.474,0.0,18.0,1745.0,-168.0
Perley,47.178999999999995,-96.68,895,2017,9,3,89.042,51.368,0.0,19.0,1764.0,-169.0
Perley,47.178999999999995,-96.68,895,2017,9,4,72.986,45.321999999999996,0.03,11.0,1775.0,-177.0
Perley,47.178999999999995,-96.68,895,2017,9,5,69.152,43.394,0.0,10.0,1785.0,-183.0
Perley,47.178999999999995,-96.68,895,2017,9,6,71.096,33.645,0.0,11.0,1796.0,-188.0
Perley,47.178999999999995,-96.68,895,2017,9,7,85.65799999999999,42.786,0.0,18.0,1814.0,-185.0
Perley,47.178999999999995,-96.68,895,2017,9,8,72.194,39.436,0.0,11.0,1825.0,-188.0
Perley,47.178999999999995,-96.68,895,2017,9,9,79.664,47.048,0.0,15.0,1840.0,-184.0
Perley,47.178999999999995,-96.68,895,2017,9,10,85.78399999999999,59.431999999999995,0.0,23.0,1863.0,-173.0
Perley,47.178999999999995,-96.68,895,2017,9,11,83.822,53.42,0.0,19.0,1882.0,-166.0
Perley,47.178999999999995,-96.68,895,2017,9,12,91.92200000000001,51.943999999999996,0.0,19.0,1901.0,-156.0
Perley,47.178999999999995,-96.68,895,2017,9,13,83.3,63.266000000000005,0.0,23.0,1924.0,-144.0
Perley,47.178999999999995,-96.68,895,2017,9,14,70.75399999999999,56.443999999999996,0.02,14.0,1938.0,-140.0
Perley,47.178999999999995,-96.68,895,2017,9,15,59.558,51.278,0.06,5.0,1943.0,-148.0
Perley,47.178999999999995,-96.68,895,2017,9,16,53.906000000000006,44.411,0.01,2.0,1945.0,-158.0
Perley,47.178999999999995,-96.68,895,2017,9,17,62.833999999999996,39.981,0.0,6.0,1951.0,-161.0
